04-14 15:18:07.906  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.907  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.923  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:07.925  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.939  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.942  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.956  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:07.959  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:07.973  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:07.973  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:07.989  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:07.990  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.006  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.010  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 4ms
04-14 15:18:08.022  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 12ms
04-14 15:18:08.025  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.039  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.040  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.056  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.057  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.072  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.075  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.089  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.091  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.106  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.108  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.122  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.123  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.139  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.143  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.156  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:08.159  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.172  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.175  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.189  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.196  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.206  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:08.207  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.222  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.225  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.239  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.242  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.256  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.257  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.272  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.273  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.289  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.292  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.306  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.308  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.322  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.325  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.339  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.342  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.356  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.357  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 0ms
04-14 15:18:08.373  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.374  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.389  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.392  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.406  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.407  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.422  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.426  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.439  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.440  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 0ms
04-14 15:18:08.455  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.458  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.472  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.475  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.489  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.490  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.505  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.506  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.522  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.523  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.539  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.540  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 0ms
04-14 15:18:08.555  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.558  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.572  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.573  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.589  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.591  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.605  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.608  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.622  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.622  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 0ms
04-14 15:18:08.639  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 17ms
04-14 15:18:08.641  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.656  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.658  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.672  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.673  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.689  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.690  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 0ms
04-14 15:18:08.705  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.709  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 3ms
04-14 15:18:08.722  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.725  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 2ms
04-14 15:18:08.739  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 14ms
04-14 15:18:08.742  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 4ms
04-14 15:18:08.756  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 13ms
04-14 15:18:08.757  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.772  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.773  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.789  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 15ms
04-14 15:18:08.789  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.805  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
04-14 15:18:08.806  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 1ms
04-14 15:18:08.822  6316  6702 I bsonyu  : [, , 0]:[UI]render cost => 16ms
